id,external_id,sku,gtin,brand,name,variant,presentation,capacity_value,capacity_unit,pack_count,category_id,subcategory_id,alcohol_percentage,age_restricted,is_active,is_verified,price,regular_price,price_status,stock_status,image_master,image_thumbnail,image_rights_status,image_sha256,catalog_status
"coca-cola-original-pet-500ml-pack-12","coca-cola-original-pet-500ml-pack-12","coca-cola-original-pet-500ml-pack-12","","Coca-Cola","Coca-Cola Original","Original","Botella PET · 500 ml · Pack x12","500","ml","12","gaseosas","cola","","false","true","false","17100","","confirmed","confirmation_required","assets/catalog/beverages/coca-cola-original-pet-500ml-pack-12/product.webp","assets/catalog/beverages/coca-cola-original-pet-500ml-pack-12/thumbnail.webp","pending_review","04dfcc7856cedc7a9e1cc607623e492f2327f8aee4e2584e86e89862d1b3b3af","review_only"
"coca-cola-zero-pet-500ml-pack-12","coca-cola-zero-pet-500ml-pack-12","coca-cola-zero-pet-500ml-pack-12","","Coca-Cola","Coca-Cola Zero","Sin azúcar","Botella PET · 500 ml · Pack x12","500","ml","12","gaseosas","cola-sin-azucar","","false","true","false","17100","","confirmed","confirmation_required","assets/catalog/beverages/coca-cola-zero-pet-500ml-pack-12/product.webp","assets/catalog/beverages/coca-cola-zero-pet-500ml-pack-12/thumbnail.webp","pending_review","29bf5929f93628536b56642d81aab2cc901348c1f370cf46303616215768c0ee","review_only"
"sprite-original-pet-500ml-pack-12","sprite-original-pet-500ml-pack-12","sprite-original-pet-500ml-pack-12","","Sprite","Sprite","Original","Botella PET · 500 ml · Pack x12","500","ml","12","gaseosas","lima-limon","","false","true","false","17100","","confirmed","confirmation_required","assets/catalog/beverages/sprite-original-pet-500ml-pack-12/product.webp","assets/catalog/beverages/sprite-original-pet-500ml-pack-12/thumbnail.webp","pending_review","b19917623b223ce03dd390b4d5bd81f1a58e313a6816d63bee493fc924e3022f","review_only"
"coca-cola-original-pet-1500ml-pack-6","coca-cola-original-pet-1500ml-pack-6","coca-cola-original-pet-1500ml-pack-6","","Coca-Cola","Coca-Cola Original","Original","Botella PET · 1500 ml · Pack x6","1500","ml","6","gaseosas","cola","","false","true","false","19999","","confirmed","confirmation_required","assets/catalog/beverages/coca-cola-original-pet-1500ml-pack-6/product.webp","assets/catalog/beverages/coca-cola-original-pet-1500ml-pack-6/thumbnail.webp","pending_review","c902a03bb7d90fa1882b952c15ee184780f57e7727e037f8fae6bca0a6f52926","review_only"
"coca-cola-zero-pet-1500ml-pack-6","coca-cola-zero-pet-1500ml-pack-6","coca-cola-zero-pet-1500ml-pack-6","","Coca-Cola","Coca-Cola Zero","Sin azúcar","Botella PET · 1500 ml · Pack x6","1500","ml","6","gaseosas","cola-sin-azucar","","false","true","false","19999","","confirmed","confirmation_required","assets/catalog/beverages/coca-cola-zero-pet-1500ml-pack-6/product.webp","assets/catalog/beverages/coca-cola-zero-pet-1500ml-pack-6/thumbnail.webp","pending_review","9556ac06b128e0f12491a4d9581144919bbe56e41056c91344a9a35f57072d27","review_only"
"sprite-original-pet-1500ml-pack-6","sprite-original-pet-1500ml-pack-6","sprite-original-pet-1500ml-pack-6","","Sprite","Sprite","Original","Botella PET · 1500 ml · Pack x6","1500","ml","6","gaseosas","lima-limon","","false","true","false","19999","","confirmed","confirmation_required","assets/catalog/beverages/sprite-original-pet-1500ml-pack-6/product.webp","assets/catalog/beverages/sprite-original-pet-1500ml-pack-6/thumbnail.webp","pending_review","b4d20a5baa5f2a5ae0ddfc0f34b6236837c9bee0688e96798b46c077234d37c8","review_only"
"fanta-naranja-pet-1500ml-pack-6","fanta-naranja-pet-1500ml-pack-6","fanta-naranja-pet-1500ml-pack-6","","Fanta","Fanta Naranja","Naranja","Botella PET · 1500 ml · Pack x6","1500","ml","6","gaseosas","naranja","","false","true","false","19999","","confirmed","confirmation_required","assets/catalog/beverages/fanta-naranja-pet-1500ml-pack-6/product.webp","assets/catalog/beverages/fanta-naranja-pet-1500ml-pack-6/thumbnail.webp","pending_review","1db67196a34cef6720a12ad981aa96ae5fa54f1615343cc285dfd157f5e63c5f","review_only"
"schweppes-tonica-pet-1500ml-pack-6","schweppes-tonica-pet-1500ml-pack-6","schweppes-tonica-pet-1500ml-pack-6","","Schweppes","Schweppes Tónica","Tónica","Botella PET · 1500 ml · Pack x6","1500","ml","6","mixers","tonica","","false","true","false","19999","","confirmed","confirmation_required","assets/catalog/beverages/schweppes-tonica-pet-1500ml-pack-6/product.webp","assets/catalog/beverages/schweppes-tonica-pet-1500ml-pack-6/thumbnail.webp","pending_review","626c925037c60e3f231d42f06e5df2a7c1405c679a6d40aafbfff6b9a019d036","review_only"
"schweppes-citrus-pet-1500ml-pack-6","schweppes-citrus-pet-1500ml-pack-6","schweppes-citrus-pet-1500ml-pack-6","","Schweppes","Schweppes Citrus","Citrus","Botella PET · 1500 ml · Pack x6","1500","ml","6","mixers","citrus","","false","true","false","19999","","confirmed","confirmation_required","assets/catalog/beverages/schweppes-citrus-pet-1500ml-pack-6/product.webp","assets/catalog/beverages/schweppes-citrus-pet-1500ml-pack-6/thumbnail.webp","pending_review","d558fc8259b96ff5cf0697375c241cab1bf6a8375b23a0e7a5a65ac25a1ac436","review_only"
"red-bull-original-lata-250ml","red-bull-original-lata-250ml","red-bull-original-lata-250ml","","Red Bull","Red Bull Energy Drink","Original","Lata · 250 ml · Unidad","250","ml","1","energizantes","original","","false","true","false","3576","","confirmed","confirmation_required","assets/catalog/beverages/red-bull-original-lata-250ml/product.webp","assets/catalog/beverages/red-bull-original-lata-250ml/thumbnail.webp","pending_review","2c87ba6374277260f655409bd60086d54446089c835af7a48a97d06dcbbe3284","review_only"
